Column 1,Column 2,Column 3,Column 4
1945-1949 ,Harry S. Truman ,Bess Wallace Truman ,office vacant
1949-1953 ,Harry S. Truman ,Bess Wallace Truman ,"Barkley, Alben W."
1953-1961 ,Dwight D. Eisenhower ,Mamie Doud Eisenhower ,Richard M. Nixon
1961-1963 ,John F. Kennedy ,Jacqueline Kennedy ,Lyndon B. Johnson
1963-1965 ,Lyndon B. Johnson ,Lady Bird Johnson ,office vacant
1965-1969 ,Lyndon B. Johnson ,Lady Bird Johnson ,Hubert H. Humphrey
1969-1973 ,Richard M. Nixon ,Pat Nixon ,Spiro T. Agnew
1973-1974 ,Richard M. Nixon ,Pat Nixon ,Gerald R. Ford
1974-1977 ,Gerald R. Ford ,Betty Ford ,Nelson Rockefeller
1977-1981 ,Jimmy Carter ,Rosalynn Carter ,Walter F. Mondale
1981-1989 ,Ronald Reagan ,Nancy Reagan ,George Bush
1989-1993 ,George Bush ,Barbara Bush ,Dan Quayle
1993-2001 ,Bill Clinton ,Hillary Rodham Clinton ,Albert Gore
2001-2009 ,George W. Bush ,Laura Bush ,Richard Cheney
2009-2017 ,Barack Obama ,Michelle Obama ,Joseph R. Biden
2017-2021 ,Donald J. Trump ,Melania Trump ,Mike Pence
2021- ,Joseph R. Biden ,Jill Biden ,Kamala Harris
